gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0012000001,20201211/ORLATL,2020-12-11,19:00:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612753,ATL,ORL,112,116,20-21
0012000002,20201211/NYKDET,2020-12-11,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612752,DET,NYK,84,90,20-21
0012000003,20201211/HOUCHI,2020-12-11,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612745,CHI,HOU,104,125,20-21
0012000004,20201211/LACLAL,2020-12-11,22:00:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612746,LAL,LAC,87,81,20-21
0012000005,20201211/SACPOR,2020-12-11,22:30:00,,Moda Center,Portland,3,Final,1610612757,1610612758,POR,SAC,127,102,20-21
0012000006,20201212/TORCHA,2020-12-12,19:00:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612761,CHA,TOR,100,111,20-21
0012000007,20201212/INDCLE,2020-12-12,19:00:00,,Rocket Mortgage FieldHouse,Cleveland,3,Final,1610612739,1610612754,CLE,IND,107,104,20-21
0012000008,20201212/OKCSAS,2020-12-12,19:00:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612760,SAS,OKC,108,121,20-21
0012000009,20201212/DALMIL,2020-12-12,20:00:00,,Fiserv Forum,Milwaukee,3,Final,1610612749,1610612742,MIL,DAL,102,112,20-21
0012000010,20201212/MEMMIN,2020-12-12,20:00:00,,Target Center,Minneapolis,3,Final,1610612750,1610612763,MIN,MEM,105,107,20-21
0012000011,20201212/DENGSW,2020-12-12,20:30:00,,Chase Center,San Francisco,3,Final,1610612744,1610612743,GSW,DEN,107,105,20-21
0012000012,20201212/PHXUTA,2020-12-12,21:00:00,,Vivint Smart Home Arena,Salt Lake City,3,Final,1610612762,1610612756,UTA,PHX,119,105,20-21
0012000013,20201213/ORLATL,2020-12-13,17:00:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612753,ATL,ORL,116,107,20-21
0012000014,20201213/WASBKN,2020-12-13,18:00:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612764,BKN,WAS,119,114,20-21
0012000015,20201213/NYKDET,2020-12-13,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612752,DET,NYK,99,91,20-21
0012000016,20201213/HOUCHI,2020-12-13,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612745,CHI,HOU,104,91,20-21
0012000018,20201213/LACLAL,2020-12-13,20:30:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612746,LAL,LAC,131,106,20-21
0012000017,20201213/SACPOR,2020-12-13,21:00:00,,Moda Center,Portland,3,Final,1610612757,1610612758,POR,SAC,106,121,20-21
0012000019,20201214/INDCLE,2020-12-14,18:00:00,,Rocket Mortgage FieldHouse,Cleveland,3,Final,1610612739,1610612754,CLE,IND,116,106,20-21
