Name,Player ID,Original Match,Desc
"Williams, Nate",1631466,-2,
"Johnson, David",1630525,-2,
"Smith, Chris",,-2,
"Williams, Brandon",1630314,-2,
"Davis, Johnny",1631098,-2,
"Tubelis, Azuolas",1641773,nan,Not in static nba_api data (fringe)
"Ellison, Malik",1630707,nan,Not in static nba_api data (fringe)
"Poeltl, Jakob",1627751,nan,Diff last name in nba_api data
"Tillman, Justin",1629460,nan,Not in static nba_api data (fringe)
"Holman, Aric",1629689,nan,Not in static nba_api data (fringe)
"Martin Jr., Kenyon",1630231,nan,Referred to as KJ Martin and Kenyon Martin Jr
"Norris, Miles",1641936,nan,Not in static nba_api data (fringe)
"Williams, Jeenathan",1631466,nan,Aka Nate Williams
"Kinsey, Taevion",1641795,nan,Not in static nba_api data (fringe)
"Rice, Sir'Jabari",1641811,nan,Not in static nba_api data (fringe)
"Hommes, Daulton",1629756,nan,Not in static nba_api data (fringe)
